Family	Genus	species	Genus_species	species_lsid	author	year	parentheses	distribution_WSC	Notes	Citation_WSC	Measured	Ecological_classification	Guild	Cave_deep	Cave_entr	SSH	External	Alien	Verticality	Pigment	Eyeless	Eyes_regression	Leg_elongation	Body_length_min_f	Body_length_max_f	Body_length_min_m	Body_length_max_m	Body_length_avg_f	Body_length_avg_m	Sexual_Size_Dimorphism	Body_length_avg	Prosoma_length_f	Prosoma_length_m	Prosoma_length_avg	Prosoma_width_f	Prosoma_width_m	Prosoma_width_avg	Prosoma_shape	Prosoma_height_f	Prosoma_height_m	Prosoma_height_avg	Profile_flattening	Femur_I_length_f	Femur_I_length_m	Femur_I_length_avg	Femur_elongation	Tibia_I_length_f	Tibia_I_length_m	Tibia_I_length_avg	Tibia_elongation 	Fang_length_f	Fang_length_m	Fang_length_avg	Clypeus_height_f	Clypeus_height_m	Clypeus_height_avg	AME	AME_type	ALE	PME	PLE	Eye_reduction_ratio	AME-ALE	PME-PLE	Capture_web	Sensing_web	No_web	Tube_web	Sheet_web	Space_web	Orb_web	Ambush_hunter	Active_hunter	Food_specialist	Dispersal
Linyphiidae	Troglohyphantes	draconis	Troglohyphantes draconis	urn:lsid:nmbe.ch:spidersp:013042	Deeleman-Reinhold	1978	0	North Macedonia, Albania	-	Deeleman-Reinhold C L (1978b) Revision of the cave-dwelling and related spiders of the genus Troglohyphantes Joseph (Linyphiidae), with special reference to the yugoslav species. Slovenska Akademija Znanosti in Umetnosti, Razred za Prirodoslovne Vede, Classis IV, Historia Naturalis (Prirod. Vede) 23: 1-220; Deltshev, C., Vrenosi, B., Blagoev, G., & Lazarov, S. (2011). Spiders of Albania – Faunistic and Zoogeographical Review (Arachnida: Araneae). Acta Zoologica Bulgarica, 63(2), 125–144.	no	Troglobiont	Sheet	1	1	0	0	0	Soil + Wall	Depigmented	0	1	0	NA	3,450	NA	3,120	3,450	3,120	0,904	3,285	1,300	1,440	1,370	1,060	1,150	1,105	1,240	0,370	0,480	0,425	0,310	1,870	2,060	1,965	0,598	1,920	2,160	2,040	0,621	NA	NA	NA	NA	NA	NA	0,033	Present	NA	0,043	0,050	NA	NA	0,080	1	0	0	0	1	1	0	0	0	0	0
Linyphiidae	Troglohyphantes	drenskii	Troglohyphantes drenskii	urn:lsid:nmbe.ch:spidersp:013043	Deltshev	1973	0	Bulgaria	unspecified if Deep or Entrance, howewer in caves	 Deltshev_1973a	yes	Troglobiont	Sheet	1	1	0	0	0	Soil + Wall	Depigmented	0	1	1	NA	2,930	NA	2,470	2,930	2,470	0,843	2,700	1,280	1,090	1,185	1,090	1,010	1,050	1,129	NA	NA	NA	NA	1,830	1,740	1,785	0,661	1,920	1,830	1,875	0,694	NA	NA	NA	0,240	0,240	0,240	NA	Present	NA	NA	NA	NA	NA	NA	1	0	0	0	1	1	0	0	0	0	0
Linyphiidae	Troglohyphantes	excavatus	Troglohyphantes excavatus	urn:lsid:nmbe.ch:spidersp:013044	Fage	1919	0	Italy, Austria, Slovenia, Croatia	Croatian Biospeleological Society collection: measured samples CBSSAR6732 male & female	Fage, L. (1919). Biospelogica XL. Etudes sur les araignées cavernicoles. III. Sur le genre Troglohyphantes. Archives de Zoologie Expérimentale et Générale 58: 55-148, pl. 2-8. ; Caporiacco, L. di (1938d). Aracnidi cavernicoli e lucifugi di Postumia. Le Grotte d'Italia, Trieste (2a) 2: 36-41.; Deeleman-Reinhold, C. L. (1978b). Revision of the cave-dwelling and related spiders of the genus Troglohyphantes Joseph (Linyphiidae), with special reference to the Yugoslav species. Slovenska Akademija Znanosti in Umetnosti, Razred za Prirodoslovne Vede, Classis IV, Historia Naturalis (Prirod. Vede) 23: 1-220.	no	Troglophile	Sheet	1	1	1	1	0	Soil + Wall	Variable	0	0	0	2,800	3,000	2,724	2,300	2,900	2,300	0,793	2,600	0,960	1,000	0,980	0,770	0,970	0,870	1,126	0,397	0,350	0,374	0,381	2,105	2,300	2,203	0,847	2,255	2,690	2,473	0,951	0,267	0,237	NA	0,186	0,173	0,180	0,040	Present	0,068	0,070	0,073	0,349	0,048	0,030	1	0	0	0	1	1	0	0	0	0	1
Linyphiidae	Troglohyphantes	exul	Troglohyphantes exul	urn:lsid:nmbe.ch:spidersp:013045	Thaler	1987	0	Italy	unspecified if Deep or Entrance, howewer in caves	Thaler_1987a/ Pesarini_1988c	no	Troglobiont	Sheet	1	1	0	0	0	Soil + Wall	Depigmented	0	1	0	NA	3,000	NA	2,900	3,000	2,900	0,967	2,950	1,290	1,290	1,290	0,980	1,130	1,055	1,223	NA	NA	NA	NA	2,420	2,490	2,455	0,832	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0,000	Absent_Adaptation	0,040	0,040	0,040	NA	NA	NA	1	0	0	0	1	1	0	0	0	0	0
Linyphiidae	Troglohyphantes	fagei	Troglohyphantes fagei	urn:lsid:nmbe.ch:spidersp:013046	Roewer	1931	0	Italy, Germany, Austria	-	Roewer_1931/Brignoli_1971d/Schenkel_1950a	yes	Troglophile	Sheet	1	1	0	1	0	Soil + Wall	Fully	0	0	0	2,600	3,240	2,450	2,800	2,920	2,625	0,899	2,773	1,100	1,150	1,125	0,900	1,050	0,975	1,154	NA	NA	NA	NA	2,250	2,450	2,350	0,848	2,500	2,800	2,650	0,956	NA	NA	NA	0,160	0,250	0,205	0,050	Present	0,070	0,050	0,040	0,256	NA	NA	1	0	0	0	1	1	0	0	0	0	1
Linyphiidae	Troglohyphantes	fallax	Troglohyphantes fallax	urn:lsid:nmbe.ch:spidersp:013047	Deeleman-Reinhold	1978	0	Bosnia and Herzegovina	unspecified if Deep or Entrance, howewer in caves	Deeleman-Reinhold_1978b	no	Troglobiont	Sheet	1	1	0	0	0	Soil + Wall	Depigmented	1	0	0	NA	3,120	NA	2,780	3,120	2,780	0,891	2,950	1,200	1,300	1,250	1,060	1,200	1,130	1,106	NA	NA	NA	NA	2,740	2,780	2,760	0,936	2,880	3,120	3,000	1,017	NA	NA	NA	NA	NA	NA	NA	Absent_Adaptation	NA	NA	NA	NA	NA	NA	1	0	0	0	1	1	0	0	0	0	0
Linyphiidae	Troglohyphantes	fatalis	Troglohyphantes fatalis	urn:lsid:nmbe.ch:spidersp:013048	Pesarini	1988	0	Italy	unspecified if Deep or Entrance, howewer in caves	Pesarini_1988c	yes	Troglobiont	Sheet	1	1	0	0	0	Soil + Wall	Depigmented	0	0	0	NA	2,890	NA	2,920	2,890	2,920	1,010	2,905	1,170	1,300	1,235	0,968	1,070	1,019	1,212	0,401	0,510	0,456	0,369	1,750	1,930	1,840	0,633	1,920	2,140	2,030	0,699	NA	NA	NA	0,216	0,228	0,222	0,049	Present	0,077	0,080	0,078	0,320	0,062	0,055	1	0	0	0	1	1	0	0	0	0	0
Linyphiidae	Troglohyphantes	fugax	Troglohyphantes fugax	urn:lsid:nmbe.ch:spidersp:013049	Kulczynski	1914	1	Bosnia and Herzegovina	unspecified if Deep or Entrance, howewer in caves; Croatian Biospeleological Society collection: measured samples CBSSAR 791 female	Kulczyński_1914/Fage_1919/Deeleman-Reinhold_1978b	no	Troglobiont	Sheet	1	1	0	0	0	Soil + Wall	Depigmented	1	0	0	2,200	4,120	NA	NA	3,160	NA	NA	3,160	1,540	1,450	1,495	1,295	1,180	1,238	1,208	0,506	NA	NA	NA	3,020	2,650	2,835	0,897	3,085	2,820	2,953	0,934	0,363	NA	NA	NA	NA	NA	NA	Absent_Adaptation	NA	NA	NA	NA	NA	NA	1	0	0	0	1	1	0	0	0	0	0
Linyphiidae	Troglohyphantes	furcifer	Troglohyphantes furcifer	urn:lsid:nmbe.ch:spidersp:013050	Simon	1884	1	Spain	unspecified if Deep or Entrance, howewer in caves	Simon_1884a/Fage_1919	no	Troglophile	Sheet	1	1	0	1	0	Soil + Wall	Partly	0	0	0	NA	3,500	NA	3,500	3,500	3,500	1,000	3,500	2,600	2,800	2,700	NA	NA	NA	NA	NA	NA	NA	NA	2,000	NA	2,000	0,571	2,200	NA	2,200	0,629	NA	NA	NA	NA	NA	NA	NA	Present	NA	NA	NA	NA	NA	NA	1	0	0	0	1	1	0	0	0	0	1
Linyphiidae	Troglohyphantes	gamsi	Troglohyphantes gamsi	urn:lsid:nmbe.ch:spidersp:013051	Deeleman-Reinhold	1978	0	Slovenia	-	Deeleman-Reinhold_1978b	no	Troglophile	Sheet	0	1	0	1	0	Soil	Partly	0	0	0	NA	2,600	NA	2,400	2,600	2,400	0,923	2,500	1,200	1,060	1,130	0,960	0,860	0,910	1,242	0,380	0,380	0,380	0,336	2,300	2,640	2,470	0,988	2,450	NA	2,450	0,980	NA	NA	NA	NA	NA	NA	0,055	Present	NA	0,068	0,070	NA	NA	0,025	1	0	0	0	1	1	0	0	0	0	1
