"Family" "Genus" "species" "Genus_species" "species_lsid" "author" "year" "parentheses" "distribution_WSC" "Notes" "Citation_WSC" "Measured" "Ecological_classification" "Guild" "Cave_deep" "Cave_entr" "SSH" "External" "Alien" "Verticality" "Pigment" "Eyeless" "Eyes_regression" "Leg_elongation" "Body_length_min_f" "Body_length_max_f" "Body_length_min_m" "Body_length_max_m" "Body_length_avg_f" "Body_length_avg_m" "Sexual_Size_Dimorphism" "Body_length_avg" "Prosoma_length_f" "Prosoma_length_m" "Prosoma_length_avg" "Prosoma_width_f" "Prosoma_width_m" "Prosoma_width_avg" "Prosoma_shape" "Prosoma_height_f" "Prosoma_height_m" "Prosoma_height_avg" "Profile_flattening" "Femur_I_length_f" "Femur_I_length_m" "Femur_I_length_avg" "Femur_elongation" "Tibia_I_length_f" "Tibia_I_length_m" "Tibia_I_length_avg" "Tibia_elongation" "Fang_length_f" "Fang_length_m" "Fang_length_avg" "Clypeus_height_f" "Clypeus_height_m" "Clypeus_height_avg" "AME" "AME_type" "ALE" "PME" "PLE" "Eye_reduction_ratio" "AME.ALE" "PME.PLE" "Capture_web" "Sensing_web" "No_web" "Tube_web" "Sheet_web" "Space_web" "Orb_web" "Ambush_hunter" "Active_hunter" "Food_specialist" "Dispersal"
"Hahnia caeca" "Hahniidae" "Hahnia" "caeca" "Hahnia caeca" "urn:lsid:nmbe.ch:spidersp:021897" "Georgescu & Sarbu" 1992 1 "Romania" "the measure reported in \"fang\" refers to chelicherae" "Georgescu&Sarbu_1992/ Weiss&Sarbu_1996" "no" "Troglobiont" "Sheet" 1 0 0 0 0 "Soil" "Depigmented" 1 0 1 NA 1.1 1.2 1.3 1.1 1.25 1.136 1.175 0.55 0.55 0.55 NA 0.445 NA NA NA NA NA NA 0.5 NA NA NA 0.375 NA NA NA 0.225 NA NA NA NA NA 0 "Absent_Adaptation" 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0
"Harpactea agnolettii" "Dysderidae" "Harpactea" "agnolettii" "Harpactea agnolettii" "urn:lsid:nmbe.ch:spidersp:004601" "Brignoli" 1978 0 "Turkey" "-" "Brignoli, P. M. (1978n). Ragni di Turchia IV. Leptonetidae, Dysderidae ed Agelenidae nuovi o interessanti di grotte della Turchia meridionale (Araneae). Quaderni di Speleologia, Circolo Speleologico Romano 3: 37-54; Le Peru, B. (2011). The spiders of Europe, a synthesis of data: Volume 1 Atypidae to Theridiidae. Mémoires de la Société Linnéenne de Lyon 2: 1-522. " "no" "Troglophile" "Ground" 1 1 0 1 0 NA "Fully" 0 1 0 NA 5.3 NA NA 5.3 5.3 1 5.3 2.05 NA 2.05 1.62 NA 1.62 1.265 NA NA NA NA 1.5 NA 1.5 0.283 1.27 NA 1.27 0.24 NA NA NA NA NA NA 0 "Absent_Ontology" NA NA NA NA NA NA 0 0 1 0 0 0 0 0 1 0 0
"Harpactea karaschkhan" "Dysderidae" "Harpactea" "karaschkhan" "Harpactea karaschkhan" "urn:lsid:nmbe.ch:spidersp:048407" "Kunt et al." 2016 0 "Turkey" "-" "Kunt, K. B., Özkütük, R. S., Elverici, M., Marusik, Y. M. & Karakaş, G. (2016). Harpactea karaschkhan sp. n., a new cave-dwelling blind spider species from the Mediterranean region of Turkey. Journal of Cave and Karst Studies 78(1): 36-40." "no" "Troglobiont" "Ground" 1 0 0 0 0 "Wall" "Depigmented" 1 1 0 3.83 4.44 NA NA 4.135 NA NA 4 1.9 NA 1.9 1.35 NA 1.35 1.407 NA NA NA NA 1.62 NA 1.62 0.405 1.34 NA 1.34 0.335 NA NA NA NA NA NA 0 "Absent_Ontology" 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0
"Harpactea magnibulbi" "Dysderidae" "Harpactea" "magnibulbi" "Harpactea magnibulbi" "urn:lsid:nmbe.ch:spidersp:004678" "Machado & Ferrandez" 1991 0 "Portugal" "-" "Machado, A. de B. & Ferrández, M. Á. (1991). Harpactea magnibulbi n.sp. un nuevo disdérido (Araneae, Dysderidae), del sur de Portugal. Boletín de la Real Sociedad Española de Historia Natural (Seccion Biologica) 87: 53-60." "yes" "Troglophile" "Ground" 0 1 0 1 0 NA "Fully" 0 0 1 3.71 6.16 4.39 4.96 4.935 4.675 0.947 4.825 1.75 2 1.875 1.23 1.5 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 "Absent_Ontology" NA NA NA NA NA NA 0 0 1 0 0 0 0 0 1 0 0
"Harpactea ortegai" "Dysderidae" "Harpactea" "ortegai" "Harpactea ortegai" "urn:lsid:nmbe.ch:spidersp:038494" "Ribera & De Mas" 2003 0 "Spain" "-" "Ribera, C., De Mas, E. & Barranco, P. (2003). Araneidos cavernícolas de la provincia de Almeria (I) y descripción de cuatro especies nuevas. Revista Ibérica de Aracnología 7: 3-17." "no" "Troglophile" "Ground" 0 1 0 1 0 NA "Fully" 0 0 0 NA NA NA 3.47 NA 3.47 NA 7 NA 1.61 1.61 NA 1.17 1.17 1.376 NA NA NA NA NA 1.42 1.42 0.203 NA 1.37 1.37 0.196 NA NA NA NA NA NA 0 "Absent_Ontology" NA NA NA NA NA NA 0 0 1 0 0 0 0 0 1 0 0
"Harpactea stalitoides" "Dysderidae" "Harpactea" "stalitoides" "Harpactea stalitoides" "urn:lsid:nmbe.ch:spidersp:004726" "Ribera" 1993 0 "Portugal" "-" "Ribera, C. (1993). Dysdera caeca n. sp. y Harpactea stalitoides n. sp. (Araneae), dos nuevas especies cavernícoles de Marruecos y Portugal. Revue Arachnologique 10: 1-7." "no" "Troglobiont" "Ground" 1 0 0 0 0 NA "Depigmented" 1 1 0 NA 3.04 NA NA 3.04 NA NA 7 1.44 NA 1.44 0.9 NA 0.9 1.6 NA NA NA NA 1.26 NA 1.26 0.18 1.08 NA 1.08 0.154 NA NA NA NA NA NA 0 "Absent_Ontology" 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0
"Harpactea strandi" "Dysderidae" "Harpactea" "strandi" "Harpactea strandi" "urn:lsid:nmbe.ch:spidersp:004727" "Caporiacco" 1939 1 "Italy" "-" "Caporiacco, L. di (1939b). Aracnidi cavernicoli delle Puglie. Le Grotte d'Italia, Trieste (2a) 3: 43-47.; Alicata, P. (1966c). Le Harpactea (Araneae, Dysderidae) della fauna italiana e considerazioni sulla loro origine. Atti dell' Accademia Gioenia di Scienze Naturali in Catania (6) 18: 190-221. " "no" "Troglophile" "Ground" 1 1 0 0 0 NA "Fully" 0 0 0 NA 5.85 NA NA 5.85 NA NA 5.4 2.63 2.51 2.57 1.95 2.01 1.98 1.298 NA NA NA NA 2.23 NA 2.23 0.413 2.06 NA 2.06 0.381 NA NA NA NA NA NA 0 "Absent_Ontology" NA NA NA NA NA NA 0 0 1 0 0 0 0 0 1 0 0
"Harpactea strinatii" "Dysderidae" "Harpactea" "strinatii" "Harpactea strinatii" "urn:lsid:nmbe.ch:spidersp:004729" "Brignoli" 1979 0 "Greece" "-" "Brignoli, P. M. (1979b). Ragni di Grecia XI. Specie nuove o interessanti, cavernicole ed epigee. Revue Suisse de Zoologie 86(1): 181-202." "no" "Troglobiont" "Ground" 1 0 0 0 0 NA "Depigmented" 1 1 0 NA NA NA 4.1 NA 4.1 NA 4.1 NA 1.85 1.85 NA 1.25 1.25 1.48 NA NA NA NA NA 1.9 1.9 0.463 NA 1.45 1.45 0.354 NA NA NA NA NA NA 0 "Absent_Ontology" 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0
"Harpactea tenuiemboli" "Dysderidae" "Harpactea" "tenuiemboli" "Harpactea tenuiemboli" "urn:lsid:nmbe.ch:spidersp:044500" "Deltshev" 2011 0 "Serbia" "-" "Deltshev, C. (2011). Harpactea lazarovi sp. n. and H. tenuiemboli sp. n., two new spider species from Balkan Peninsula (Araneae, Dysderidae). Zoosystematics and Evolution 87(2): 221-226." "no" "Troglophile" "Ground" 1 1 0 0 0 NA "Fully" 0 0 0 NA NA NA 4.87 NA 4.87 NA 4.87 NA 2.25 2.25 NA 1.72 1.72 1.308 NA NA NA NA NA 2.85 2.85 0.585 NA 2.4 2.4 0.493 NA NA NA NA NA NA 0 "Absent_Ontology" NA NA NA NA NA NA 0 0 1 0 0 0 0 0 1 0 0
"Heteropoda variegata" "Sparassidae" "Heteropoda" "variegata" "Heteropoda variegata" "urn:lsid:nmbe.ch:spidersp:028986" "Simon" 1874 1 "Greece to Israel" "-" "Levy (1989); Simon (1880)" "no" "Troglophile" "Other" 0 1 0 1 0 "Wall" "Fully" 0 0 1 18 25 NA NA 21.5 NA NA 21.5 10 7.5 8.75 8.65 7.2 7.925 1.104 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.85 NA 0.85 NA "Present" NA NA NA NA NA NA 0 0 1 0 0 0 0 0 1 0 1
"Histopona bidens" "Agelenidae" "Histopona" "bidens" "Histopona bidens" "urn:lsid:nmbe.ch:spidersp:020962" "Absolon & Kratochvi­l" 1933 1 "Croatia" "Croatian Biospeleological Society collection: record from North Macedonia is wrong; measured samples CBSS AR 3862 & 63 female & 140 & 67  male; sample 140 male is eyeless" "Kratochvíl J (1938a) Étude sur les araignées cavernicoles du genre Hadites. Práce Moravské Přírodovědecké Společnosti 11(1): 1-28 " "yes" "Troglobiont" "Sheet" 1 0 0 0 0 "Soil + Wall" "Depigmented" 0 1 0 7.024 7.404 8.193 8.361 NA NA NA 6 3.9 3.824 3.862 2.65 2.58 2.615 1.477 0.997 1.321 NA NA 5.05 4.47 4.76 0.793 5.28 4.73 5.005 0.834 0.943 1.031 0.987 0.236 NA 0.236 0.056 "Present" 0.076 0.059 0.084 0.291 0.067 0.155 1 0 0 1 1 0 0 0 0 0 0
"Histopona conveniens" "Agelenidae" "Histopona" "conveniens" "Histopona conveniens" "urn:lsid:nmbe.ch:spidersp:020963" "Kulczynski" 1914 1 "Croatia, Bosnia and Herzegovina, Montenegro" "Croatian Biospeleological Society collection: measured samples CBSS AR1433 & 1455 female & 1448, 1446 & 3772 male" "Kulczyński W (1914) Aranearum species novae minusve cognitae, in montibus Kras dictis a Dre C. Absolon aliisque collectae. Bulletin International de l'Academie des Sciences de Cracovie 1914: 353-387; Deeleman-Reinhold C L (1983) The genus Histopona Thorell (Araneae, Agelenidae) with description of two new cave-dwelling species. Mémoires de Biospéologie 10: 325-337;" "yes" "Troglophile" "Sheet" 1 1 0 0 0 "Soil + Wall" "Partly" 0 0 0 4.904 5.894 5.657 6.06 6.3 5.3 0.841 5.8 2.625 2.8 2.713 1.8 2.15 1.975 1.373 1.458 1.238 NA NA 2.63 2.85 2.74 0.472 2.51 2.78 2.645 0.456 0.547 0.656 NA 0.145 0.221 0.183 0.079 "Present" 0.143 0.124 0.114 0.628 0.024 0.06 1 0 0 1 1 0 0 0 0 0 0
"Histopona dubia" "Agelenidae" "Histopona" "dubia" "Histopona dubia" "urn:lsid:nmbe.ch:spidersp:020964" "Absolon & Kratochvi­l" 1933 1 "Croatia" "all records except Croatia are wrong; Croatian Biospeleological Society collection: measured samples CBSS AR1543 female & 1556 male; some specimens are completely eyeless, like CBSS AR1543 female" "Kratochvíl J (1938a) Étude sur les araignées cavernicoles du genre Hadites. Práce Moravské Přírodovědecké Společnosti 11(1): 1-28 " "yes" "Troglobiont" "Sheet" 1 0 0 0 0 "Soil + Wall" "Depigmented" 0 1 0 6.362 9.13 6.325 6.801 NA NA NA 6 3.55 3.1 3.325 2.42 2.16 2.29 1.452 2.654 1.249 NA NA 4.1 4.26 4.18 0.697 4.13 4.47 4.3 0.717 0.88 0.786 NA 0.294 0.233 0.267 0.069 "Present" 0.089 0.078 0.092 0.307 0.067 0.102 1 0 0 1 1 0 0 0 0 0 0
"Histopona egonpretneri" "Agelenidae" "Histopona" "egonpretneri" "Histopona egonpretneri" "urn:lsid:nmbe.ch:spidersp:020965" "Deeleman-Reinhold" 1983 0 "Croatia" "Croatian Biospeleological Society collection: measured samples CBSS AR5898 & 366 female & 5881 2 males" "Deeleman-Reinhold C L (1983) The genus Histopona Thorell (Araneae, Agelenidae) with description of two new cave-dwelling species. Mémoires de Biospéologie 10: 325-337;" "no" "Troglobiont" "Sheet" 1 1 0 0 0 "Soil + Wall" "Depigmented" 0 1 0 6.92 6.96 6.575 6.795 7.76 7.75 0.999 7.755 3.1 3.4 3.25 2.12 2.44 2.28 1.426 1.308 2.047 NA NA 3.41 3.84 3.625 0.467 3.46 3.84 3.65 0.471 0.753 0.923 NA 0.251 0.289 0.225 0.075 "Present" 0.118 0.098 0.114 0.449 0.013 0.099 1 0 0 1 1 0 0 0 0 0 0
"Histopona krivosijana" "Agelenidae" "Histopona" "krivosijana" "Histopona krivosijana" "urn:lsid:nmbe.ch:spidersp:020969" "Kratochvi­l" 1935 1 "Montenegro" "Croatian Biospeleological Society collection: measured sample CBSS AR3640 female" "Kratochvíl J (1938a) Étude sur les araignées cavernicoles du genre Hadites. Práce Moravské Přírodovědecké Společnosti 11(1): 1-28; Deeleman-Reinhold C L (1983) The genus Histopona Thorell (Araneae, Agelenidae) with description of two new cave-dwelling species. Mémoires de Biospéologie 10: 325-337;" "no" "Troglobiont" "Sheet" 1 0 0 0 0 "Soil + Wall" "Depigmented" 0 1 0 NA 7.746 NA NA NA NA NA 6 3.33 NA 3.33 2.258 NA 2.258 1.475 2.335 NA NA NA 3.88 NA 3.88 0.647 4.06 NA 4.06 0.677 0.906 NA 0.906 0.133 NA 0.133 0.088 "Present" 0.062 0.038 0.07 0.485 0.107 0.144 1 0 0 1 1 0 0 0 0 0 0
"Histopona leonardoi" "Agelenidae" "Histopona" "leonardoi" "Histopona leonardoi" "urn:lsid:nmbe.ch:spidersp:045861" "Bolzern, Pantini & Isaia" 2013 0 "Switzerland, Italy" "-" "Bolzern et al (2013)" "yes" "Troglophile" "Sheet" 0 0 1 1 0 "Soil" "Fully" 0 0 0 4.05 4.97 4.23 5.32 4.51 4.775 1.059 4.643 2.16 2.55 2.355 1.51 1.79 1.65 1.427 NA NA NA NA 1.79 2.2 1.995 0.43 1.49 1.96 1.725 0.372 0.96 1.18 1.07 NA NA 0.15 0.071 "Present" 0.12 0.115 0.113 0.698 0.035 0.057 1 0 0 1 1 0 0 0 0 0 1
"Histopona luxurians" "Agelenidae" "Histopona" "luxurians" "Histopona luxurians" "urn:lsid:nmbe.ch:spidersp:020971" "Kulczynski" 1897 1 "Austria to Ukraine and south-eastern Europe" "Croatian Biospeleological Society collection: measured samples CBSS AR591 female & 4245 male" "Chyzer & Kulczyński (1897)," "no" "Troglophile" "Sheet" 1 1 0 1 0 "Soil + Wall" "Partly" 0 0 0 NA 5.479 NA 5.645 5.55 5 0.901 5.275 2.39 2.79 2.59 1.791 2.109 1.95 1.328 0.709 1.091 NA NA 1.95 2.2 2.075 0.393 1.6 1.95 1.775 0.336 0.555 0.769 NA 0.072 0.198 0.135 0.08 "Present" 0.142 0.123 0.129 0.877 0.012 0.027 1 0 0 1 1 0 0 0 0 0 0
"Histopona tranteevi" "Agelenidae" "Histopona" "tranteevi" "Histopona tranteevi" "urn:lsid:nmbe.ch:spidersp:020977" "Deltshev" 1978 0 "Bulgaria" "-" "Deltshev and Petrov (2008); Deltshev (1978)" "no" "Troglophile" "Sheet" 1 0 0 1 0 "Soil" "Fully" 0 0 0 NA NA NA NA 4.9 4.12 0.841 4.51 2.02 2.25 2.135 1.44 1.5 1.47 1.452 NA NA NA NA 1.73 2.25 1.99 0.441 1.73 2.25 1.99 0.441 1.01 NA 1.01 NA NA NA NA "Present" NA NA NA NA NA NA 1 0 0 1 1 0 0 0 0 0 0
"Holocnemus caudatus" "Pholcidae" "Holocnemus" "caudatus" "Holocnemus caudatus" "urn:lsid:nmbe.ch:spidersp:003404" "Dufour" 1820 1 "Spain, northwestern Africa" "Bernhard Huber collection" "new" "yes" "Troglophile" "Sheet" 0 1 0 1 0 "Wall" "Fully" 0 0 1 5 7.5 4.5 6.5 6.25 5.5 0.88 5.875 1.2 1.2 1.2 1.3 1.3 1.3 0.923 1 1 1 0.833 7.5 8.9 8.2 1.396 7.1 8 7.55 1.285 0.16 0.16 0.16 0.5 0.5 0.5 0.055 "Present" 0.11 0.105 0.12 0.195 0.09 0.05 1 0 0 0 1 1 0 0 0 0 1
"Hoplopholcus asiaeminoris" "Pholcidae" "Hoplopholcus" "asiaeminoris" "Hoplopholcus asiaeminoris" "urn:lsid:nmbe.ch:spidersp:003409" "Brignoli" 1978 0 "Turkey" "Bernhard Huber collection" "Huber 2020, new" "yes" "Troglophile" "Sheet" 0 1 NA 1 0 "Wall" "Fully" 0 0 1 4.5 6.8 4.5 7 5.65 5.75 1.018 5.7 2.1 2.3 2.2 2.3 2.5 2.4 0.917 1.4 1.6 1.5 0.682 10.6 13.8 12.2 2.14 10.8 13.7 12.25 2.149 0.26 0.26 0.26 0.9 1 0.95 0.095 "Present" 0.175 0.165 0.18 0.162 0.08 0.085 1 0 0 0 1 1 0 0 0 0 1
"Hoplopholcus cecconii" "Pholcidae" "Hoplopholcus" "cecconii" "Hoplopholcus cecconii" "urn:lsid:nmbe.ch:spidersp:003410" "Kulczynski" 1908 0 "Turkey, Levant (Israel, Lebanon, Jordan)" "Bernhard Huber collection" "Huber 2020, new" "yes" "Troglophile" "Sheet" 0 1 NA 1 0 "Wall" "Fully" 0 0 1 4.4 5.5 4.2 5.5 4.95 4.85 0.98 4.9 1.7 1.8 1.75 1.9 2 1.95 0.897 1.4 1.5 1.45 0.829 11.1 11.7 11.4 2.327 11.4 11.9 11.65 2.378 0.23 0.25 0.24 0.8 0.9 0.85 0.075 "Present" 0.16 0.14 0.145 0.153 0.08 0.06 1 0 0 0 1 1 0 0 0 0 1
"Hoplopholcus figulus" "Pholcidae" "Hoplopholcus" "figulus" "Hoplopholcus figulus" "urn:lsid:nmbe.ch:spidersp:003411" "Brignoli" 1971 0 "Greece" "Bernhard Huber collection" "Huber 2020, new" "yes" "Troglophile" "Sheet" 1 1 1 1 0 "Wall" "Partly" 0 1 1 3.3 5 3.7 4.5 4.15 4.1 0.988 4.125 1.4 1.4 1.4 1.6 1.6 1.6 0.875 1 1 1 0.714 8.2 8.9 8.55 2.073 8.4 8.9 8.65 2.097 0.21 0.21 0.21 0.6 0.6 0.6 0 "Absent_Adaptation" 0.1 0.08 0.08 0.108 NA 0.05 1 0 0 0 1 1 0 0 0 0 1
"Hoplopholcus forskali" "Pholcidae" "Hoplopholcus" "forskali" "Hoplopholcus forskali" "urn:lsid:nmbe.ch:spidersp:003412" "Thorell" 1871 1 "Eastern Central Europe to Turkey" "Bernhard Huber collection" "Huber 2020, new" "yes" "Troglophile" "Sheet" 0 1 NA 1 0 "Wall" "Fully" 0 0 1 4.5 6.3 4.2 6.3 5.4 5.25 0.972 5.325 1.4 1.6 1.5 1.6 1.8 1.7 0.882 1.1 1.2 1.15 0.767 7.8 8.9 8.35 1.568 8.1 9.1 8.6 1.615 0.24 0.26 0.25 0.7 0.8 0.75 0.085 "Present" 0.155 0.135 0.15 0.175 0.065 0.065 1 0 0 0 1 1 0 0 0 0 1
"Hoplopholcus longipes" "Pholcidae" "Hoplopholcus" "longipes" "Hoplopholcus longipes" "urn:lsid:nmbe.ch:spidersp:003414" "Spassky" 1934 1 "Turkey, Caucasus (Russia, Georgia)" "Bernhard Huber collection" "Huber 2020, new" "yes" "Troglophile" "Sheet" 0 1 NA 1 0 "Wall" "Fully" 0 0 1 4.6 5.6 4.5 6.1 5.1 5.3 1.039 5.2 1.6 1.7 1.65 1.9 2.1 2 0.825 1.3 1.4 1.35 0.818 10.7 11.6 11.15 2.144 10.8 11.4 11.1 2.135 0.25 0.27 0.26 0.7 0.8 0.75 0.11 "Present" 0.18 0.15 0.175 0.205 0.08 0.07 1 0 0 0 1 1 0 0 0 0 1
"Hoplopholcus patrizii" "Pholcidae" "Hoplopholcus" "patrizii" "Hoplopholcus patrizii" "urn:lsid:nmbe.ch:spidersp:003417" "Roewer" 1962 1 "Turkey" "Bernhard Huber collection" "Huber 2020, new" "yes" "Troglophile" "Sheet" 0 1 NA 1 0 "Wall" "Partly" 0 0 1 4.2 5.6 4.5 5.5 4.9 5 1.02 4.95 1.8 1.9 1.85 1.9 2 1.95 0.949 1.2 1.3 1.25 0.676 12.5 13.9 13.2 2.667 12.7 14 13.35 2.697 0.28 0.3 0.29 0.85 0.9 0.875 0.065 "Present" 0.155 0.14 0.16 0.149 0.07 0.07 1 0 0 0 1 1 0 0 0 0 1
"Hoplopholcus trakyaensis" "Pholcidae" "Hoplopholcus" "trakyaensis" "Hoplopholcus trakyaensis" "urn:lsid:nmbe.ch:spidersp:049085" "Demircan & Topcu" 2017 0 "Turkey" "Bernhard Huber collection" "Huber 2020, new" "yes" "Troglophile" "Sheet" 0 1 NA 0 0 "Wall" "Fully" 0 0 1 5.2 5.6 4.3 5.5 5.4 4.9 0.907 5.15 1.6 1.6 1.6 1.8 1.8 1.8 0.889 1.3 1.3 1.3 0.813 9.7 9.1 9.4 1.825 9.8 9.3 9.55 1.854 0.23 0.23 0.23 0.6 0.7 0.65 0.07 "Present" 0.145 0.135 0.16 0.196 0.1 0.08 1 0 0 0 1 1 0 0 0 0 1
"Iberina mazarredoi" "Hahniidae" "Iberina" "mazarredoi" "Iberina mazarredoi" "urn:lsid:nmbe.ch:spidersp:021985" "Simon" 1881 0 "Spain, France" "-" "Simon_1881b/Ledoux_2014" "no" "Troglobiont" "Sheet" 1 0 0 0 0 "Soil" "Depigmented" 1 0 1 1.5 1.8 1.25 1.5 1.65 1.375 0.833 1.5125 0.7225 0.6 0.66125 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 "Absent_Adaptation" 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0
"Iberina microphthalma" "Hahniidae" "Iberina" "microphthalma" "Iberina microphthalma" "urn:lsid:nmbe.ch:spidersp:021940" "Snazell & Duffey" 1980 1 "Britain, Switzerland, Germany, Czechia, Hungary" "also under tree barks." "Snazell&Duffey_1980/Růžička&Dolanský_2016/Mezőfi&Markó_2018" "no" "Troglophile" "Sheet" 0 0 1 1 0 "Soil + Wall" "Partly" 0 1 1 NA 1.4 NA NA 1.4 NA NA NA 0.6 NA NA 0.45 NA NA NA NA NA NA NA 0.48 NA NA NA 0.4 NA NA NA NA NA NA NA NA NA NA "Present" NA NA NA NA NA NA 1 0 0 0 1 0 0 0 0 0 0
"Kryptonesticus arenstorffi" "Nesticidae" "Kryptonesticus" "arenstorffi" "Kryptonesticus arenstorffi" "urn:lsid:nmbe.ch:spidersp:006626" "Kulczyński" 1914 1 "Croaria, Montenegro, Bosnia and Herzegovina" "known for several caves in Bosnia and Herzegovina, Montenegro and Croatia (see Pavlek & Ribera, 2017); Martina Pavlek collection: measured samples CBSSAR 4137 & 2777 female & 3783 & 3461 male" "Kulczyński, 1914; Kratochvíl, 1933; Pavlek & Ribera, 2017" "no" "Troglobiont" "Space" 1 1 0 0 0 "Wall" "Depigmented" 0 1 0 4.442 5.4 4.093 5.4 4.921 5.4 1.097 5.4 1.781 1.641 1.95 1.531 1.426 1.7 1.147 0.389 0.266 NA NA 5.29 3.99 5.29 0.98 5.32 3.587 5.32 0.985 NA NA NA 0.336 0.269 0.302 0.067 "Present" 0.095 0.102 0.101 0.301 0.063 0.068 1 0 0 0 0 1 0 0 0 0 0
"Kryptonesticus deelemanae" "Nesticidae" "Kryptonesticus" "deelemanae" "Kryptonesticus deelemanae" "urn:lsid:nmbe.ch:spidersp:049007" "Pavlek & Ribera" 2017 0 "Croatia" "known for 20 caves in Biokovo Mt area; Martina Pavlek collection: measured samples CBSSAR 5068 female & 1277, 4813 & 3941 males" "Pavlek & Ribera, 2017" "no" "Troglobiont" "Space" 1 1 0 0 0 "Wall" "Depigmented" 0 1 1 4.21 4.27 3.072 4.27 3.63 3.63 1 4 1.537 1.666 1.6 1.425 1.559 1.4 1.143 1.149 1.01 NA NA 4.09 4.2 4.14 1.035 4.15 4.32 4.23 1.058 NA NA NA 0.135 0.306 0.221 0.057 "Present" 0.096 0.098 0.078 0.372 0.062 0.065 1 0 0 0 0 1 0 0 0 0 0
"Kryptonesticus dimensis" "Nesticidae" "Kryptonesticus" "dimensis" "Kryptonesticus dimensis" "urn:lsid:nmbe.ch:spidersp:046327" "Lopez-Pancorbo, Kunt & Ribera" 2013 1 "Turkey" "known only for Dim cave on Taurus mountain, Turkey" "López-Pancorbo et al., 2013" "yes" "Troglobiont" "Space" 1 0 0 0 0 "Wall" "Depigmented" 1 0 1 NA 2.6 2.6 NA 2.45 2.45 1 2.5 1 1.1 1 0.95 1 0.97 1.031 NA NA NA NA 3.1 3.1 3.1 1.24 3.3 2.9 3.1 1.24 NA NA NA NA NA NA 0 "Absent_Adaptation" 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0
"Kryptonesticus eremita" "Nesticidae" "Kryptonesticus" "eremita" "Kryptonesticus eremita" "urn:lsid:nmbe.ch:spidersp:006658" "Simon" 1880 1 "Europe, Turkey. Introduced to New Zealand" "widely distributed species; Martina Pavlek collection: measured samples CBSSAR 6901 male & 5100 female" "Jaeger, 1998; Vink e Duperre, 2011; Le Peru, 2011" "yes" "Troglophile" "Space" 1 1 0 1 0 "Wall" "Fully" 0 1 1 3.8 5.186 4.9 3.7 4.7 4.2 0.894 5.5 1.924 1.856 2 1.65 1.5 1.75 1.143 0.691 0.699 0.85 0.425 3.149 4.38 NA NA 2.789 4.706 NA NA NA NA NA 0.248 0.354 0.301 0.072 "Present" 0.135 0.09 0.109 0.337 0.058 0.055 1 0 0 0 0 1 0 0 0 0 1
"Kryptonesticus fagei" "Nesticidae" "Kryptonesticus" "fagei" "Kryptonesticus fagei" "urn:lsid:nmbe.ch:spidersp:006659" "Kratochvi­l" 1933 1 "Bosnia and Herzegovina" "known for few caves in Bosnia and Herzegovina, citation of Montenegro is erroneus (see Pavlek & Ribera, 2017); Martina Pavlek collection: measured samples CBSSAR 3701 male & female" "Kratochvil, 1933; Pavlek & Ribera, 2017" "no" "Troglobiont" "Space" 1 1 0 0 0 "Wall" "Depigmented" 0 1 0 5.3 5.4 3.117 5 4.7 4.7 1 5.35 1.711 1.232 2 1.495 1.19 1.343 1.49 0.468 0.418 NA NA 4.159 2.835 3.497 0.654 4.441 2.207 4.9 0.916 NA NA NA 0.245 0.184 0.215 0.057 "Present" 0.1 0.087 0.087 0.385 0.048 0.042 1 0 0 0 0 1 0 0 0 0 0
"Kut troglophilus" "Dysderidae" "Kut" "troglophilus" "Kut troglophilus" "urn:lsid:nmbe.ch:spidersp:004756" "Brignoli" 1978 1 "Turkey" "-" "Brignoli, P. M. (1978n). Ragni di Turchia IV. Leptonetidae, Dysderidae ed Agelenidae nuovi o interessanti di grotte della Turchia meridionale (Araneae); Nentwig W, Blick T, Bosmans R, Gloor D, Hänggi A, Kropf C (2020) Spiders of Europe. https://doi.org/10.24436/1 Speleologia, Circolo Speleologico Romano 3: 37-54.; Kunt, K. B., Elverici, M., Yağmur, E. A., & Özkütük, R. S. (2019). Kut gen. nov., a new troglomorphic spider genus from Turkey (Araneae, Dysderidae). Subterranean Biology, 32, 95–109. " "yes" "Troglophile" "Ground" 0 1 1 1 0 NA "Fully" 0 1 0 8.5 9.5 7.2 9.67 9 8.435 0.937 9.7 3.75 3.8 3.775 2.95 3.1 3.025 1.248 NA NA NA NA 3.2 3.6 3.4 0.351 2.3 3.04 2.67 0.275 1.01 1.01 1.01 NA NA NA 0 "Absent_Ontology" 0.14 0.1 0.1 NA NA NA 0 0 1 0 0 0 0 0 1 0 0
