"Family" "Genus" "species" "Genus_species" "species_lsid" "author" "year" "parentheses" "distribution_WSC" "Notes" "Citation_WSC" "Measured" "Ecological_classification" "Guild" "Cave_deep" "Cave_entr" "SSH" "External" "Alien" "Verticality" "Pigment" "Eyeless" "Eyes_regression" "Leg_elongation" "Body_length_min_f" "Body_length_max_f" "Body_length_min_m" "Body_length_max_m" "Body_length_avg_f" "Body_length_avg_m" "Sexual_Size_Dimorphism" "Body_length_avg" "Prosoma_length_f" "Prosoma_length_m" "Prosoma_length_avg" "Prosoma_width_f" "Prosoma_width_m" "Prosoma_width_avg" "Prosoma_shape" "Prosoma_height_f" "Prosoma_height_m" "Prosoma_height_avg" "Profile_flattening" "Femur_I_length_f" "Femur_I_length_m" "Femur_I_length_avg" "Femur_elongation" "Tibia_I_length_f" "Tibia_I_length_m" "Tibia_I_length_avg" "Tibia_elongation" "Fang_length_f" "Fang_length_m" "Fang_length_avg" "Clypeus_height_f" "Clypeus_height_m" "Clypeus_height_avg" "AME" "AME_type" "ALE" "PME" "PLE" "Eye_reduction_ratio" "AME.ALE" "PME.PLE" "Capture_web" "Sensing_web" "No_web" "Tube_web" "Sheet_web" "Space_web" "Orb_web" "Ambush_hunter" "Active_hunter" "Food_specialist" "Dispersal"
"Carpathonesticus parvus" "Nesticidae" "Carpathonesticus" "parvus" "Carpathonesticus parvus" "urn:lsid:nmbe.ch:spidersp:006568" "Kulczyński" 1914 1 "Bosnia and Herzegovina" "known only for few speciemens from 3 caves, male in poor condition. Molecular analysis shows that it belongs to the genus Typhlonesticus; Martina Pavlek collection: measured samples CBSSAR 3681 2 females & 3758 2 males" "Kulczyński, 1914; Brignoli, 1971" "no" "Troglobiont" "Space" 1 0 0 0 0 "Wall" "Depigmented" 1 0 0 1.7 2.445 1.7 2.194 2.073 1.947 0.939 2.4 0.747 0.965 0.81 0.738 0.917 0.7 1.157 0.351 0.262 NA NA 2.3 2.898 2.3 0.958 2.17 2.912 2.17 0.904 NA NA NA NA NA NA 0 "Absent_Adaptation" 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0
"Carpathonesticus puteorum" "Nesticidae" "Carpathonesticus" "puteorum" "Carpathonesticus puteorum" "urn:lsid:nmbe.ch:spidersp:006569" "Kulczyński" 1894 1 "Romania" "-" "Kulczyński, 1984; Dumitrescu, 1979" "no" "Troglophile" "Space" 1 1 0 0 0 "Wall" "Fully" 0 0 1 4.2 5.5 4.85 NA 4.7 4.7 1 4.8 2.375 2.2 2.29 2.05 1.925 1.99 1.151 NA NA NA NA 5.125 4.75 4.94 1.029 5.9 5.8 5.8 1.208 NA NA NA NA NA NA 0.05 "Present" 0.1 0.125 0.125 NA 0.075 0.1 1 0 0 0 0 1 0 0 0 0 0
"Carpathonesticus racovitzai" "Nesticidae" "Carpathonesticus" "racovitzai" "Carpathonesticus racovitzai" "urn:lsid:nmbe.ch:spidersp:006570" "Dumitrescu" 1980 1 "Romania" "-" "Dumitrescu, 1980" "no" "Troglophile" "Space" 1 1 0 1 0 "Wall" "Partly" 0 0 0 NA 5.5 4.6 NA 4.7 4.7 1 5 2.35 2.225 2.29 2 1.975 1.99 1.151 NA NA NA NA 4.77 4.5 4.63 0.926 5.2 5 4.9 0.98 NA NA NA NA NA NA 0.075 "Present" 0.1 0.1 0.125 NA 0.1 0.125 1 0 0 0 0 1 0 0 0 0 1
"Carpathonesticus simoni" "Nesticidae" "Carpathonesticus" "simoni" "Carpathonesticus simoni" "urn:lsid:nmbe.ch:spidersp:006571" "Fage" 1931 1 "Romania" "-" "Dumitrescu, 1979" "no" "Troglophile" "Space" 1 1 0 0 0 "Wall" "Fully" 0 0 0 NA 5.5 4.6 NA 4.7 4.7 1 5 2.375 2.15 2.26 2 1.8 1.9 1.189 NA NA NA NA 5.125 4.75 4.94 0.988 6.2 5.1 5.7 1.14 NA NA NA NA NA NA 0.075 "Present" 0.125 0.1 0.1 NA 0.1 0.125 1 0 0 0 0 1 0 0 0 0 0
"Carpathonesticus spelaeus" "Nesticidae" "Carpathonesticus" "spelaeus" "Carpathonesticus spelaeus" "urn:lsid:nmbe.ch:spidersp:006572" "Szombathy" 1917 1 "Romania" "-" "Szombathy, 1917; Dumitrescu, 1980" "no" "Troglophile" "Space" 1 1 0 1 0 "Wall" "Partly" 0 0 0 5.5 6 5.7 NA 4.7 4.7 1 5 2.375 2.373 2.37 2.15 2 2 1.185 NA NA NA NA 5.125 4.625 4.87 0.974 5.6 4.8 5.2 1.04 NA NA NA NA NA NA 0.075 "Present" 0.1 0.125 0.125 NA 0.075 0.1 1 0 0 0 0 1 0 0 0 0 1
"Cataleptoneta aesculapii" "Leptonetidae" "Cataleptoneta" "aesculapii" "Cataleptoneta aesculapii" "urn:lsid:nmbe.ch:spidersp:002948" "Brignoli" 1968 1 "Turkey" "-" "Le Peru, B, (2011), The spiders of Europe, a synthesis of data: Volume 1 Atypidae to Theridiidae, Mémoires de la Société Linnéenne de Lyon 2: 1-522; Brignoli, P, M, (1968c), Due nuove Paraleptoneta cavernicole dell'Asia Minore (Araneae, Leptonetidae), Fragmenta Entomologica 6: 23-37, " "no" "Troglobiont" "Space" 1 0 0 0 0 "Soil + Wall" "Depigmented" 0 0 1 NA 1.85 NA NA 1.85 NA NA 1.8 NA NA NA NA NA NA NA NA NA NA NA 2.1 NA 2.1 1.167 2.4 NA 2.4 1.333 0.33 NA 0.33 NA NA NA 0 "Absent_Ontology" NA NA NA NA NA NA 1 0 0 0 0 1 0 0 0 0 0
"Cataleptoneta detriticola" "Leptonetidae" "Cataleptoneta" "detriticola" "Cataleptoneta detriticola" "urn:lsid:nmbe.ch:spidersp:046093" "Deltshev & Li" 2013 0 "Bulgaria, Greece" " - " "Deltshev, C, & Li, S, Q, (2013), A new species of the genus Cataleptoneta from Belasitsa Mts, Bulgaria (Araneae, Leptonetidae), Acta Zootaxonomica Sinica 38: 514-519" "yes" "Troglophile" "Space" 1 0 1 0 0 "Soil + Wall" "Depigmented" 0 0 0 NA 1.7 NA 1.8 1.7 1.8 1.059 1.75 0.7 0.58 0.64 0.6 0.54 0.57 1.123 NA NA NA NA 1.5 1.33 1.415 0.809 NA NA NA NA NA NA NA 0.08 0.06 0.07 0 "Absent_Ontology" 0.04 0.04 0.06 0.667 NA 0.04 1 0 0 0 0 1 0 0 0 0 0
"Cataleptoneta lingulata" "Leptonetidae" "Cataleptoneta" "lingulata" "Cataleptoneta lingulata" "urn:lsid:nmbe.ch:spidersp:043725" "Wang & Li" 2010 0 "Croatia" "Croatian Biospeleological Society collection: measured samples CBSS AR 3373 female" "Wang, C, X, & Li, S, Q, (2010c), Two new species of the spider genus Cataleptoneta from Balkan Peninsula (Araneae, Leptonetidae), Zootaxa 2730: 57-68" "no" "Troglobiont" "Space" 1 1 0 0 0 "Soil + Wall" "Depigmented" 0 0 1 1.72 1.76 1.63 1.7 1.74 1.665 0.957 1.7 0.71 0.7 0.705 0.6 0.65 0.625 1.128 0.217 0.215 NA NA 1.87 2 1.935 1.138 1.65 1.85 1.75 1.029 0.208 0.24 0.224 0.08 0.1 0.09 0 "Absent_Ontology" 0.05 0.05 0.09 0.704 NA NA 1 0 0 0 0 1 0 0 0 0 0
"Cataleptoneta sbordonii" "Leptonetidae" "Cataleptoneta" "sbordonii" "Cataleptoneta sbordonii" "urn:lsid:nmbe.ch:spidersp:002950" "Brignoli" 1968 1 "Turkey" "-" "Brignoli, P, M, (1968c), Due nuove Paraleptoneta cavernicole dell'Asia Minore (Araneae, Leptonetidae), Fragmenta Entomologica 6: 23-37, " "no" "Troglobiont" "Space" 1 0 0 0 0 "Wall" "Depigmented" 0 0 1 NA 1.8 NA 2 1.8 2 1.111 1.9 0.65 0.75 0.7 NA NA NA NA NA NA NA NA 2.05 2.5 2.275 1.197 2.5 2.75 2.625 1.382 NA 0.32 0.32 NA NA NA 0 "Absent_Ontology" NA NA NA NA NA NA 1 0 0 0 0 1 0 0 0 0 0
"Centromerus acutidentatus" "Linyphiidae" "Centromerus" "acutidentatus" "Centromerus acutidentatus" "urn:lsid:nmbe.ch:spidersp:038535" "Deltshev" 2002 0 "Balkans" "-" "Deltshev, C. & Ćurčić, B. P. M. (2002). A contribution to the study of the genus Centromerus Dahl (Araneae: Linyphiidae) in caves of the Balkan Peninsula. Revue Suisse de Zoologie 109(1): 167-176. doi:10.5962/bhl.part.79585" "no" "Troglophile" "Sheet" 1 1 0 1 0 "Soil + Wall" "Depigmented" 0 0 0 2.16 2.16 1.8 1.8 2.16 1.8 0.833 1.98 0.72 0.79 0.755 0.51 0.79 0.65 1.162 NA NA NA NA 0.72 0.9 0.81 0.409 1.07 1.07 1.07 0.54 NA NA NA NA NA NA NA "Present" NA NA NA NA NA NA 1 0 0 0 1 1 0 0 0 0 0
